id,title,New latitude,New longitude
11443,Reporter’s Notebook: Covering Cancer in the Developing World,0.341389,32.577778
11464,"Liberia: #Kony2012, meet #Todee2012",6.596,-10.485
11536,Witnesses at Memphis Trial Say Petties Worked Directly With &#039;La Barbie&#039;,35.146111,-90.051944
11625,Suriname: Chinese Migrants Cash In on Gold Rush,5.852222,-55.203889
11749,Brazil: Imagine a World Free of Hunger and Need,-23.550394,-46.633947
11754,The Fate of Small-Scale Fishermen in Southeast Asia,13.7525,100.494167
11775,Russia Unveils a $2 Billion Campus on the Edge of China,43,131.85
11782,Meet the Student Fellows: Anna Tomasulo,14.692778,-17.446667
11793,A Dangerous Day in the Life of an Afghan District Governor,31.816667,64.55
11809,Peru: Voices from Lake Titicaca,-15.825,-69.325
11876,Cancer&#039;s Lonely Soldier in Uganda: Part I of V,0.341389,32.577778
